symbol;yahoo finance
IEF;https://query1.finance.yahoo.com/v7/finance/download/IEF?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
AIA;https://query1.finance.yahoo.com/v7/finance/download/AIA?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
COMT;https://query1.finance.yahoo.com/v7/finance/download/COMT?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
ISTB;https://query1.finance.yahoo.com/v7/finance/download/ISTB?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IXUS;https://query1.finance.yahoo.com/v7/finance/download/IXUS?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IUSG;https://query1.finance.yahoo.com/v7/finance/download/IUSG?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IUSV;https://query1.finance.yahoo.com/v7/finance/download/IUSV?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IUSB;https://query1.finance.yahoo.com/v7/finance/download/IUSB?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
HEWG;https://query1.finance.yahoo.com/v7/finance/download/HEWG?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
SUSB;https://query1.finance.yahoo.com/v7/finance/download/SUSB?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
SUSC;https://query1.finance.yahoo.com/v7/finance/download/SUSC?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
XT;https://query1.finance.yahoo.com/v7/finance/download/XT?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
FALN;https://query1.finance.yahoo.com/v7/finance/download/FALN?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IFEU;https://query1.finance.yahoo.com/v7/finance/download/IFEU?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IFGL;https://query1.finance.yahoo.com/v7/finance/download/IFGL?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IGF;https://query1.finance.yahoo.com/v7/finance/download/IGF?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
GNMA;https://query1.finance.yahoo.com/v7/finance/download/GNMA?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
HYXE;https://query1.finance.yahoo.com/v7/finance/download/HYXE?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
CIU;https://query1.finance.yahoo.com/v7/finance/download/CIU?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IGOV;https://query1.finance.yahoo.com/v7/finance/download/IGOV?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
EMB;https://query1.finance.yahoo.com/v7/finance/download/EMB?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
MBB;https://query1.finance.yahoo.com/v7/finance/download/MBB?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
JKI;https://query1.finance.yahoo.com/v7/finance/download/JKI?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
ACWX;https://query1.finance.yahoo.com/v7/finance/download/ACWX?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
ACWI;https://query1.finance.yahoo.com/v7/finance/download/ACWI?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
AAXJ;https://query1.finance.yahoo.com/v7/finance/download/AAXJ?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
EWZS;https://query1.finance.yahoo.com/v7/finance/download/EWZS?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
MCHI;https://query1.finance.yahoo.com/v7/finance/download/MCHI?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
ESGD;https://query1.finance.yahoo.com/v7/finance/download/ESGD?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
SCZ;https://query1.finance.yahoo.com/v7/finance/download/SCZ?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
